PERSON ID,Source,Label,Target,OTHER NAMES,ETHNICITY/NATIONALITY,PHYSICAL DESCRIPTORS,LOCATION(S),BIOGRAPHICAL INFORMATION
P13,OGO,MOTHER OF,"OGO'S SON [DEAD 1770]",MARIA,EBO,"4'11 INCHES HIGH (1761)

'TT' IN DOWNWARD TRIANGLE BRAND ON HER RIGHT SHOULDER (1761)
","EGYPT ESTATE (1761-1767)

BREADNUT ISLAND PEN (1767-1786)","Ogo first appeared in the diary in December of 1761. Thistlewood purchased her in a group sale of five other Africans from a trader for 50 pounds. Upon her arrival to Egypt estate, he paired her with an enslaved fieldwoman named Egypt Lucy to be 'seasoned'. After renaming her ""Maria,"" a mere one week after her purchase, he put Ogo to work in Egypt's fields.

Five years after her arrival in Jamaica, Ogo gave birth to her first child: a daughter named Lucy. Her father was most likely Solon, an enslaved field laborer  and sometimes driver whom Thistlewood purchased a few months before Ogo. Over the next several years, Ogo would have several more sexual partners/spouses, including another enslaved man at the neighboring Retrieve estate, an enslaved man named Peter owned by another of Thistlewood's friends named Wilson, and an enslaved man from Egypt estate named Cubbena. Thistlewood forced himself upon her sexually several times.

 The diary also confirms Ogo as having two more children: a boy born in 1770 who died at seven days old of tetanus, and another daughter named Rachael  born in 1771 who would die in 1775 at four years old. Her eldest daughter, Lucy would fall sick of stomach pains and convulsions and die in 1777 at the age of ten.

In the years following her captivity, Ogo would act as a nurse/caregiver for Abasse (renamed Will) when he became seriously ill and died in 1767, who was one of the six that Thistlewood purchased in 1761 and was thus likely one of Ogo's shipmates.  

Ogo outlived Thistlewood by the time of his death in 1786. In a 1787 appraisal of his human property, she was estimated to be ""about 40 years old) and valued at 50 pounds (the exact same price Thistlewood orginally paid for her in 1761)."
P13,OGO,NURSE OF/FOR,ABASSE,MARIA,EBO,"4'11 INCHES HIGH (1761)

'TT' IN DOWNWARD TRIANGLE BRAND ON HER RIGHT SHOULDER (1761)
","EGYPT ESTATE (1761-1767)

BREADNUT ISLAND PEN (1767-1786)","Ogo first appeared in the diary in December of 1761. Thistlewood purchased her in a group sale of five other Africans from a trader for 50 pounds. Upon her arrival to Egypt estate, he paired her with an enslaved fieldwoman named Egypt Lucy to be 'seasoned'. After renaming her ""Maria,"" a mere one week after her purchase, he put Ogo to work in Egypt's fields.

Five years after her arrival in Jamaica, Ogo gave birth to her first child: a daughter named Lucy. Her father was most likely Solon, an enslaved field laborer  and sometimes driver whom Thistlewood purchased a few months before Ogo. Over the next several years, Ogo would have several more sexual partners/spouses, including another enslaved man at the neighboring Retrieve estate, an enslaved man named Peter owned by another of Thistlewood's friends named Wilson, and an enslaved man from Egypt estate named Cubbena. Thistlewood forced himself upon her sexually several times.

 The diary also confirms Ogo as having two more children: a boy born in 1770 who died at seven days old of tetanus, and another daughter named Rachael  born in 1771 who would die in 1775 at four years old. Her eldest daughter, Lucy would fall sick of stomach pains and convulsions and die in 1777 at the age of ten.

In the years following her captivity, Ogo would act as a nurse/caregiver for Abasse (renamed Will) when he became seriously ill and died in 1767, who was one of the six that Thistlewood purchased in 1761 and was thus likely one of Ogo's shipmates.  

Ogo outlived Thistlewood by the time of his death in 1786. In a 1787 appraisal of his human property, she was estimated to be ""about 40 years old) and valued at 50 pounds (the exact same price Thistlewood orginally paid for her in 1761)."
P13,OGO,HOUSEMATE OF,EGYPT LUCY,MARIA,EBO,"4'11 INCHES HIGH (1761)

'TT' IN DOWNWARD TRIANGLE BRAND ON HER RIGHT SHOULDER (1761)
","EGYPT ESTATE (1761-1767)

BREADNUT ISLAND PEN (1767-1786)","Ogo first appeared in the diary in December of 1761. Thistlewood purchased her in a group sale of five other Africans from a trader for 50 pounds. Upon her arrival to Egypt estate, he paired her with an enslaved fieldwoman named Egypt Lucy to be 'seasoned'. After renaming her ""Maria,"" a mere one week after her purchase, he put Ogo to work in Egypt's fields.

Five years after her arrival in Jamaica, Ogo gave birth to her first child: a daughter named Lucy. Her father was most likely Solon, an enslaved field laborer  and sometimes driver whom Thistlewood purchased a few months before Ogo. Over the next several years, Ogo would have several more sexual partners/spouses, including another enslaved man at the neighboring Retrieve estate, an enslaved man named Peter owned by another of Thistlewood's friends named Wilson, and an enslaved man from Egypt estate named Cubbena. Thistlewood forced himself upon her sexually several times.

 The diary also confirms Ogo as having two more children: a boy born in 1770 who died at seven days old of tetanus, and another daughter named Rachael  born in 1771 who would die in 1775 at four years old. Her eldest daughter, Lucy would fall sick of stomach pains and convulsions and die in 1777 at the age of ten.

In the years following her captivity, Ogo would act as a nurse/caregiver for Abasse (renamed Will) when he became seriously ill and died in 1767, who was one of the six that Thistlewood purchased in 1761 and was thus likely one of Ogo's shipmates.  

Ogo outlived Thistlewood by the time of his death in 1786. In a 1787 appraisal of his human property, she was estimated to be ""about 40 years old) and valued at 50 pounds (the exact same price Thistlewood orginally paid for her in 1761)."
P13,OGO,HOUSEMATE OF,JULINA,MARIA,EBO,"4'11 INCHES HIGH (1761)

'TT' IN DOWNWARD TRIANGLE BRAND ON HER RIGHT SHOULDER (1761)
","EGYPT ESTATE (1761-1767)

BREADNUT ISLAND PEN (1767-1786)","Ogo first appeared in the diary in December of 1761. Thistlewood purchased her in a group sale of five other Africans from a trader for 50 pounds. Upon her arrival to Egypt estate, he paired her with an enslaved fieldwoman named Egypt Lucy to be 'seasoned'. After renaming her ""Maria,"" a mere one week after her purchase, he put Ogo to work in Egypt's fields.

Five years after her arrival in Jamaica, Ogo gave birth to her first child: a daughter named Lucy. Her father was most likely Solon, an enslaved field laborer  and sometimes driver whom Thistlewood purchased a few months before Ogo. Over the next several years, Ogo would have several more sexual partners/spouses, including another enslaved man at the neighboring Retrieve estate, an enslaved man named Peter owned by another of Thistlewood's friends named Wilson, and an enslaved man from Egypt estate named Cubbena. Thistlewood forced himself upon her sexually several times.

 The diary also confirms Ogo as having two more children: a boy born in 1770 who died at seven days old of tetanus, and another daughter named Rachael  born in 1771 who would die in 1775 at four years old. Her eldest daughter, Lucy would fall sick of stomach pains and convulsions and die in 1777 at the age of ten.

In the years following her captivity, Ogo would act as a nurse/caregiver for Abasse (renamed Will) when he became seriously ill and died in 1767, who was one of the six that Thistlewood purchased in 1761 and was thus likely one of Ogo's shipmates.  

Ogo outlived Thistlewood by the time of his death in 1786. In a 1787 appraisal of his human property, she was estimated to be ""about 40 years old) and valued at 50 pounds (the exact same price Thistlewood orginally paid for her in 1761)."
P13,OGO,HOUSEMATE OF,LITTLE QUASHE,MARIA,EBO,"4'11 INCHES HIGH (1761)

'TT' IN DOWNWARD TRIANGLE BRAND ON HER RIGHT SHOULDER (1761)
","EGYPT ESTATE (1761-1767)

BREADNUT ISLAND PEN (1767-1786)","Ogo first appeared in the diary in December of 1761. Thistlewood purchased her in a group sale of five other Africans from a trader for 50 pounds. Upon her arrival to Egypt estate, he paired her with an enslaved fieldwoman named Egypt Lucy to be 'seasoned'. After renaming her ""Maria,"" a mere one week after her purchase, he put Ogo to work in Egypt's fields.

Five years after her arrival in Jamaica, Ogo gave birth to her first child: a daughter named Lucy. Her father was most likely Solon, an enslaved field laborer  and sometimes driver whom Thistlewood purchased a few months before Ogo. Over the next several years, Ogo would have several more sexual partners/spouses, including another enslaved man at the neighboring Retrieve estate, an enslaved man named Peter owned by another of Thistlewood's friends named Wilson, and an enslaved man from Egypt estate named Cubbena. Thistlewood forced himself upon her sexually several times.

 The diary also confirms Ogo as having two more children: a boy born in 1770 who died at seven days old of tetanus, and another daughter named Rachael  born in 1771 who would die in 1775 at four years old. Her eldest daughter, Lucy would fall sick of stomach pains and convulsions and die in 1777 at the age of ten.

In the years following her captivity, Ogo would act as a nurse/caregiver for Abasse (renamed Will) when he became seriously ill and died in 1767, who was one of the six that Thistlewood purchased in 1761 and was thus likely one of Ogo's shipmates.  

Ogo outlived Thistlewood by the time of his death in 1786. In a 1787 appraisal of his human property, she was estimated to be ""about 40 years old) and valued at 50 pounds (the exact same price Thistlewood orginally paid for her in 1761)."
P13,OGO,SEASONEE OF,EGYPT LUCY,MARIA,EBO,"4'11 INCHES HIGH (1761)

'TT' IN DOWNWARD TRIANGLE BRAND ON HER RIGHT SHOULDER (1761)
","EGYPT ESTATE (1761-1767)

BREADNUT ISLAND PEN (1767-1786)","Ogo first appeared in the diary in December of 1761. Thistlewood purchased her in a group sale of five other Africans from a trader for 50 pounds. Upon her arrival to Egypt estate, he paired her with an enslaved fieldwoman named Egypt Lucy to be 'seasoned'. After renaming her ""Maria,"" a mere one week after her purchase, he put Ogo to work in Egypt's fields.

Five years after her arrival in Jamaica, Ogo gave birth to her first child: a daughter named Lucy. Her father was most likely Solon, an enslaved field laborer  and sometimes driver whom Thistlewood purchased a few months before Ogo. Over the next several years, Ogo would have several more sexual partners/spouses, including another enslaved man at the neighboring Retrieve estate, an enslaved man named Peter owned by another of Thistlewood's friends named Wilson, and an enslaved man from Egypt estate named Cubbena. Thistlewood forced himself upon her sexually several times.

 The diary also confirms Ogo as having two more children: a boy born in 1770 who died at seven days old of tetanus, and another daughter named Rachael  born in 1771 who would die in 1775 at four years old. Her eldest daughter, Lucy would fall sick of stomach pains and convulsions and die in 1777 at the age of ten.

In the years following her captivity, Ogo would act as a nurse/caregiver for Abasse (renamed Will) when he became seriously ill and died in 1767, who was one of the six that Thistlewood purchased in 1761 and was thus likely one of Ogo's shipmates.  

Ogo outlived Thistlewood by the time of his death in 1786. In a 1787 appraisal of his human property, she was estimated to be ""about 40 years old) and valued at 50 pounds (the exact same price Thistlewood orginally paid for her in 1761)."
P13,OGO,CAREGIVER OF/FOR,,MARIA,EBO,"4'11 INCHES HIGH (1761)

'TT' IN DOWNWARD TRIANGLE BRAND ON HER RIGHT SHOULDER (1761)
","EGYPT ESTATE (1761-1767)

BREADNUT ISLAND PEN (1767-1786)","Ogo first appeared in the diary in December of 1761. Thistlewood purchased her in a group sale of five other Africans from a trader for 50 pounds. Upon her arrival to Egypt estate, he paired her with an enslaved fieldwoman named Egypt Lucy to be 'seasoned'. After renaming her ""Maria,"" a mere one week after her purchase, he put Ogo to work in Egypt's fields.

Five years after her arrival in Jamaica, Ogo gave birth to her first child: a daughter named Lucy. Her father was most likely Solon, an enslaved field laborer  and sometimes driver whom Thistlewood purchased a few months before Ogo. Over the next several years, Ogo would have several more sexual partners/spouses, including another enslaved man at the neighboring Retrieve estate, an enslaved man named Peter owned by another of Thistlewood's friends named Wilson, and an enslaved man from Egypt estate named Cubbena. Thistlewood forced himself upon her sexually several times.

 The diary also confirms Ogo as having two more children: a boy born in 1770 who died at seven days old of tetanus, and another daughter named Rachael  born in 1771 who would die in 1775 at four years old. Her eldest daughter, Lucy would fall sick of stomach pains and convulsions and die in 1777 at the age of ten.

In the years following her captivity, Ogo would act as a nurse/caregiver for Abasse (renamed Will) when he became seriously ill and died in 1767, who was one of the six that Thistlewood purchased in 1761 and was thus likely one of Ogo's shipmates.  

Ogo outlived Thistlewood by the time of his death in 1786. In a 1787 appraisal of his human property, she was estimated to be ""about 40 years old) and valued at 50 pounds (the exact same price Thistlewood orginally paid for her in 1761)."
P13,OGO,DOMESTIC PARTNER OF,SOLON,MARIA,EBO,"4'11 INCHES HIGH (1761)

'TT' IN DOWNWARD TRIANGLE BRAND ON HER RIGHT SHOULDER (1761)
","EGYPT ESTATE (1761-1767)

BREADNUT ISLAND PEN (1767-1786)","Ogo first appeared in the diary in December of 1761. Thistlewood purchased her in a group sale of five other Africans from a trader for 50 pounds. Upon her arrival to Egypt estate, he paired her with an enslaved fieldwoman named Egypt Lucy to be 'seasoned'. After renaming her ""Maria,"" a mere one week after her purchase, he put Ogo to work in Egypt's fields.

Five years after her arrival in Jamaica, Ogo gave birth to her first child: a daughter named Lucy. Her father was most likely Solon, an enslaved field laborer  and sometimes driver whom Thistlewood purchased a few months before Ogo. Over the next several years, Ogo would have several more sexual partners/spouses, including another enslaved man at the neighboring Retrieve estate, an enslaved man named Peter owned by another of Thistlewood's friends named Wilson, and an enslaved man from Egypt estate named Cubbena. Thistlewood forced himself upon her sexually several times.

 The diary also confirms Ogo as having two more children: a boy born in 1770 who died at seven days old of tetanus, and another daughter named Rachael  born in 1771 who would die in 1775 at four years old. Her eldest daughter, Lucy would fall sick of stomach pains and convulsions and die in 1777 at the age of ten.

In the years following her captivity, Ogo would act as a nurse/caregiver for Abasse (renamed Will) when he became seriously ill and died in 1767, who was one of the six that Thistlewood purchased in 1761 and was thus likely one of Ogo's shipmates.  

Ogo outlived Thistlewood by the time of his death in 1786. In a 1787 appraisal of his human property, she was estimated to be ""about 40 years old) and valued at 50 pounds (the exact same price Thistlewood orginally paid for her in 1761)."
P13,OGO,DOMESTIC PARTNER OF,OGO'S SWEETHEART,MARIA,EBO,"4'11 INCHES HIGH (1761)

'TT' IN DOWNWARD TRIANGLE BRAND ON HER RIGHT SHOULDER (1761)
","EGYPT ESTATE (1761-1767)

BREADNUT ISLAND PEN (1767-1786)","Ogo first appeared in the diary in December of 1761. Thistlewood purchased her in a group sale of five other Africans from a trader for 50 pounds. Upon her arrival to Egypt estate, he paired her with an enslaved fieldwoman named Egypt Lucy to be 'seasoned'. After renaming her ""Maria,"" a mere one week after her purchase, he put Ogo to work in Egypt's fields.

Five years after her arrival in Jamaica, Ogo gave birth to her first child: a daughter named Lucy. Her father was most likely Solon, an enslaved field laborer  and sometimes driver whom Thistlewood purchased a few months before Ogo. Over the next several years, Ogo would have several more sexual partners/spouses, including another enslaved man at the neighboring Retrieve estate, an enslaved man named Peter owned by another of Thistlewood's friends named Wilson, and an enslaved man from Egypt estate named Cubbena. Thistlewood forced himself upon her sexually several times.

 The diary also confirms Ogo as having two more children: a boy born in 1770 who died at seven days old of tetanus, and another daughter named Rachael  born in 1771 who would die in 1775 at four years old. Her eldest daughter, Lucy would fall sick of stomach pains and convulsions and die in 1777 at the age of ten.

In the years following her captivity, Ogo would act as a nurse/caregiver for Abasse (renamed Will) when he became seriously ill and died in 1767, who was one of the six that Thistlewood purchased in 1761 and was thus likely one of Ogo's shipmates.  

Ogo outlived Thistlewood by the time of his death in 1786. In a 1787 appraisal of his human property, she was estimated to be ""about 40 years old) and valued at 50 pounds (the exact same price Thistlewood orginally paid for her in 1761)."
P13,OGO,DOMESTIC PARTNER OF,CUBBENNA,MARIA,EBO,"4'11 INCHES HIGH (1761)

'TT' IN DOWNWARD TRIANGLE BRAND ON HER RIGHT SHOULDER (1761)
","EGYPT ESTATE (1761-1767)

BREADNUT ISLAND PEN (1767-1786)","Ogo first appeared in the diary in December of 1761. Thistlewood purchased her in a group sale of five other Africans from a trader for 50 pounds. Upon her arrival to Egypt estate, he paired her with an enslaved fieldwoman named Egypt Lucy to be 'seasoned'. After renaming her ""Maria,"" a mere one week after her purchase, he put Ogo to work in Egypt's fields.

Five years after her arrival in Jamaica, Ogo gave birth to her first child: a daughter named Lucy. Her father was most likely Solon, an enslaved field laborer  and sometimes driver whom Thistlewood purchased a few months before Ogo. Over the next several years, Ogo would have several more sexual partners/spouses, including another enslaved man at the neighboring Retrieve estate, an enslaved man named Peter owned by another of Thistlewood's friends named Wilson, and an enslaved man from Egypt estate named Cubbena. Thistlewood forced himself upon her sexually several times.

 The diary also confirms Ogo as having two more children: a boy born in 1770 who died at seven days old of tetanus, and another daughter named Rachael  born in 1771 who would die in 1775 at four years old. Her eldest daughter, Lucy would fall sick of stomach pains and convulsions and die in 1777 at the age of ten.

In the years following her captivity, Ogo would act as a nurse/caregiver for Abasse (renamed Will) when he became seriously ill and died in 1767, who was one of the six that Thistlewood purchased in 1761 and was thus likely one of Ogo's shipmates.  

Ogo outlived Thistlewood by the time of his death in 1786. In a 1787 appraisal of his human property, she was estimated to be ""about 40 years old) and valued at 50 pounds (the exact same price Thistlewood orginally paid for her in 1761)."
P134,BETTY,MOTHER OF,LITTLE AGNES,,?,,,
P134,BETTY,DOMESTIC PARTNER OF,AMBO,,?,,,
P134,BETTY,SISTER OF,AGNES,,?,,,
P14,LUCY,DAUGHTER OF,OGO,LITTLE LUCY,AFRICAN/AT LEAST HALF EBO,,"PARADISE ESTATE (1766)

EGYPT ESTATE (1766-1767)

BREADNUT ISLAND PEN (1767-1777)","Little Lucy was born in November of 1766 to Ogo, an ""Ebo"" young woman and fieldhand and Solon, an African young man and fieldhand on Paradise Estate, both purcahsed by Thistlewood in 1761. Her mother was assisted in the delivery by an enslaved grannie named Paradise Quasheba.

Little Lucy would have two siblings: a brother born in 1770 who died at just seven days old of tetanus, and a younger sister, Rachael, born in 1771 and and who would die in 1775 at four years old.

Little Lucy was often sick, and subject to frequent injuries over her life, but she often was able to recover. In 1777, she became extremely ill of stomach and neck pains for several days before falling into convulsions and dying at the age of ten--a milestone in a time and place when most enslaved children died before reaching the age of two. Solon dug her grave. On the evening of her burial, a moon/lunar rainbow appeared in the sky. "
P15,NANNY,AFRICAN,,,AFRICAN,,"KINGSTON

EGYPT ESTATE

BREADNUT ISLAND PEN","Nanny was an enslaved African young woman purchased by John Cope on Thistlewood's behalf in July of 1761 in Kingston, alongside two other African men: Solon and Caesar, who were also most likely her shipmates. She was presumed to be 21 years old.

Nanny had just one daughter, born in August of 1766 ""in the height of bad weather"" at a neighboring estate called Paradise. Nanny was assisted in the birth by an enslaved grannie named Paradise Quasheba. Her daughter was named Little Phibbah.

In the Spring of 1768, Nanny was entrusted with caring for Molia's (renaned Coobah) only child Silvia while Molia was hired out to labor on a neighboring plantation. Silvia fell sick while her mother was away and died at 15 months old.

Little Phibbah was often ill througnout her life, and in 1771 she died at age of five after a long and painful bout of stomach worms.

Nanny would be one of the enslaved people on Breadnut Island Pen who would go on to outlive Thistlewood following his death in 1786. In a 1787 appraisal of his human property she was estimated to be ""about 47 years old"" and valued at 60 pounds. 

"
P15,NANNY,MOTHER OF,LITTLE PHIBBAH,,AFRICAN,,"KINGSTON

EGYPT ESTATE

BREADNUT ISLAND PEN","Nanny was an enslaved African young woman purchased by John Cope on Thistlewood's behalf in July of 1761 in Kingston, alongside two other African men: Solon and Caesar, who were also most likely her shipmates. She was presumed to be 21 years old.

Nanny had just one daughter, born in August of 1766 ""in the height of bad weather"" at a neighboring estate called Paradise. Nanny was assisted in the birth by an enslaved grannie named Paradise Quasheba. Her daughter was named Little Phibbah.

In the Spring of 1768, Nanny was entrusted with caring for Molia's (renaned Coobah) only child Silvia while Molia was hired out to labor on a neighboring plantation. Silvia fell sick while her mother was away and died at 15 months old.

Little Phibbah was often ill througnout her life, and in 1771 she died at age of five after a long and painful bout of stomach worms.

Nanny would be one of the enslaved people on Breadnut Island Pen who would go on to outlive Thistlewood following his death in 1786. In a 1787 appraisal of his human property she was estimated to be ""about 47 years old"" and valued at 60 pounds. 

"
P15,NANNY,CAREGIVER OF/FOR,SILVIA,,AFRICAN,,"KINGSTON

EGYPT ESTATE

BREADNUT ISLAND PEN","Nanny was an enslaved African young woman purchased by John Cope on Thistlewood's behalf in July of 1761 in Kingston, alongside two other African men: Solon and Caesar, who were also most likely her shipmates. She was presumed to be 21 years old.

Nanny had just one daughter, born in August of 1766 ""in the height of bad weather"" at a neighboring estate called Paradise. Nanny was assisted in the birth by an enslaved grannie named Paradise Quasheba. Her daughter was named Little Phibbah.

In the Spring of 1768, Nanny was entrusted with caring for Molia's (renaned Coobah) only child Silvia while Molia was hired out to labor on a neighboring plantation. Silvia fell sick while her mother was away and died at 15 months old.

Little Phibbah was often ill througnout her life, and in 1771 she died at age of five after a long and painful bout of stomach worms.

Nanny would be one of the enslaved people on Breadnut Island Pen who would go on to outlive Thistlewood following his death in 1786. In a 1787 appraisal of his human property she was estimated to be ""about 47 years old"" and valued at 60 pounds. 

"
P15,NANNY,SHIPMATE OF,SOLON,,AFRICAN,,"KINGSTON

EGYPT ESTATE

BREADNUT ISLAND PEN","Nanny was an enslaved African young woman purchased by John Cope on Thistlewood's behalf in July of 1761 in Kingston, alongside two other African men: Solon and Caesar, who were also most likely her shipmates. She was presumed to be 21 years old.

Nanny had just one daughter, born in August of 1766 ""in the height of bad weather"" at a neighboring estate called Paradise. Nanny was assisted in the birth by an enslaved grannie named Paradise Quasheba. Her daughter was named Little Phibbah.

In the Spring of 1768, Nanny was entrusted with caring for Molia's (renaned Coobah) only child Silvia while Molia was hired out to labor on a neighboring plantation. Silvia fell sick while her mother was away and died at 15 months old.

Little Phibbah was often ill througnout her life, and in 1771 she died at age of five after a long and painful bout of stomach worms.

Nanny would be one of the enslaved people on Breadnut Island Pen who would go on to outlive Thistlewood following his death in 1786. In a 1787 appraisal of his human property she was estimated to be ""about 47 years old"" and valued at 60 pounds. 

"
P15,NANNY,SHIPMATE OF,CAESAR,,AFRICAN,,"KINGSTON

EGYPT ESTATE

BREADNUT ISLAND PEN","Nanny was an enslaved African young woman purchased by John Cope on Thistlewood's behalf in July of 1761 in Kingston, alongside two other African men: Solon and Caesar, who were also most likely her shipmates. She was presumed to be 21 years old.

Nanny had just one daughter, born in August of 1766 ""in the height of bad weather"" at a neighboring estate called Paradise. Nanny was assisted in the birth by an enslaved grannie named Paradise Quasheba. Her daughter was named Little Phibbah.

In the Spring of 1768, Nanny was entrusted with caring for Molia's (renaned Coobah) only child Silvia while Molia was hired out to labor on a neighboring plantation. Silvia fell sick while her mother was away and died at 15 months old.

Little Phibbah was often ill througnout her life, and in 1771 she died at age of five after a long and painful bout of stomach worms.

Nanny would be one of the enslaved people on Breadnut Island Pen who would go on to outlive Thistlewood following his death in 1786. In a 1787 appraisal of his human property she was estimated to be ""about 47 years old"" and valued at 60 pounds. 

"
P16,COOBAH,DAUGHTER OF,PHIBBAH,ACCUBBAH; JENNY YOUNG; PHIBBAH'S COOBAH,?,,PARADISE ESTATE,"Accubah, also known as 'Coobah' was an enslaved Afro-Creole girl born to Phibbah, the housekeeper of Egypt Estate and an unknown father sometime during the 1750s.

Throughout her childhood, she mostly lived apart from her mother on Paradise, a neighboring sugar estate that was also owned by their owners John and Mary (Molly) Copeand served as a domestic servant to Molly Cope. Accubah was later sent to a school for mixed race children at an early age to learn to read and write.

In addition to being frequently separated from her mother, Accubah was frequently the target of sexual predation from white men, including John Cope and a white laborer on Egypt named Sam Matthews who attempted to rape her in Egypt's boiling house in before being thwarted, ironically enough, by Thistlewood himself. She was one of the only enslaved girls/women in the diary who he never forced himself upon sexually.

Accubah had a number of sexual partners over the years who were mostly either free mixed race men of color, or white men. Three of the mixed race men were described as being her 'husband': Mulatto Davie in 1761, Nagua in 1766 (who also appeared to have grown up with Accubah on the estate), and Jimmy Stewart in 1776.

Accubah was an accomplished seamstress, who put her skills to good use in taking on paid sewing jobs for Thistlewood, and also sewing intricate messages into the dresses and bodices of her fellow enslaved women.

At some point during the late 1760's Accubah became involved in the cult society of Myalism; an Afro-Jamaican religion that according to what some scholars have argued was “the first religious organization of Africans in Jamaica” that “addressed itself to the entire slave society."" Myal was organized around the premise that enslaved people could inure themselves to the many dangers and predations from white

Accubah was very close with her mother PhIbbah, and with her mother Phibbah's friends: Accubah's aunt Nancy, an enslaved domestic woman who also lived at Paradise named House Franke, an enslaved domestic woman and healer named Vine from Cabaritta estate and an enslaved field woman from Egypt named Egypt Lucy. Together, the six women pooled the money and resources they earned through the selling of goods they raised from their provison grounds, their raising of livestock, and from sewing work they were contracted to perform for whites. They intended the funds to be used to purchase at least one of each other's freedom.

Accubah was very fond of hearing Anansi spider tales told by her mother's close friend, an enslaved healer from Cabarittta Estate named Vine. She made regular trips to her mother's later residence of Breadnut Island Pen to hear them under the cover of night.

Accubah traveled abroad to England twice in her lifetime; once in 1767 and once in the spring of 1771, as a domestic to the Cope's two daughters. On her second trip, she was baptized into the Church of England and christened 'Jenny Young', a name she would go by for the rest of her life after returning to Jamaica.

Accubah had seversl children over the course of her life, but only one of whom would survive into childhood: Little Nancy (presumably named after her Aunt).

Like her mother, Accubah/Jenny Young would go onto outlive Thistlewood past his death in 1786, although it is unknown whether or not she would ever receive her freedom like her mother did."
P16,COOBAH,SISTER OF,JOHN,ACCUBBAH; JENNY YOUNG; PHIBBAH'S COOBAH,?,,PARADISE ESTATE,"Accubah, also known as 'Coobah' was an enslaved Afro-Creole girl born to Phibbah, the housekeeper of Egypt Estate and an unknown father sometime during the 1750s.

Throughout her childhood, she mostly lived apart from her mother on Paradise, a neighboring sugar estate that was also owned by their owners John and Mary (Molly) Copeand served as a domestic servant to Molly Cope. Accubah was later sent to a school for mixed race children at an early age to learn to read and write.

In addition to being frequently separated from her mother, Accubah was frequently the target of sexual predation from white men, including John Cope and a white laborer on Egypt named Sam Matthews who attempted to rape her in Egypt's boiling house in before being thwarted, ironically enough, by Thistlewood himself. She was one of the only enslaved girls/women in the diary who he never forced himself upon sexually.

Accubah had a number of sexual partners over the years who were mostly either free mixed race men of color, or white men. Three of the mixed race men were described as being her 'husband': Mulatto Davie in 1761, Nagua in 1766 (who also appeared to have grown up with Accubah on the estate), and Jimmy Stewart in 1776.

Accubah was an accomplished seamstress, who put her skills to good use in taking on paid sewing jobs for Thistlewood, and also sewing intricate messages into the dresses and bodices of her fellow enslaved women.

At some point during the late 1760's Accubah became involved in the cult society of Myalism; an Afro-Jamaican religion that according to what some scholars have argued was “the first religious organization of Africans in Jamaica” that “addressed itself to the entire slave society."" Myal was organized around the premise that enslaved people could inure themselves to the many dangers and predations from white

Accubah was very close with her mother PhIbbah, and with her mother Phibbah's friends: Accubah's aunt Nancy, an enslaved domestic woman who also lived at Paradise named House Franke, an enslaved domestic woman and healer named Vine from Cabaritta estate and an enslaved field woman from Egypt named Egypt Lucy. Together, the six women pooled the money and resources they earned through the selling of goods they raised from their provison grounds, their raising of livestock, and from sewing work they were contracted to perform for whites. They intended the funds to be used to purchase at least one of each other's freedom.

Accubah was very fond of hearing Anansi spider tales told by her mother's close friend, an enslaved healer from Cabarittta Estate named Vine. She made regular trips to her mother's later residence of Breadnut Island Pen to hear them under the cover of night.

Accubah traveled abroad to England twice in her lifetime; once in 1767 and once in the spring of 1771, as a domestic to the Cope's two daughters. On her second trip, she was baptized into the Church of England and christened 'Jenny Young', a name she would go by for the rest of her life after returning to Jamaica.

Accubah had seversl children over the course of her life, but only one of whom would survive into childhood: Little Nancy (presumably named after her Aunt).

Like her mother, Accubah/Jenny Young would go onto outlive Thistlewood past his death in 1786, although it is unknown whether or not she would ever receive her freedom like her mother did."
